cpu_utilization,memory_utilization,storage_gb,data_transfer_gb,duration_hours,pue,carbon_intensity_gco2_kwh,instance_tdp_watts,workload_type,aws_region,co2_emissions_kg
73.8,52.99,0.0,0.0,5.8053,1.367,430,73.8,EC2,ap-southeast-1,0.185876
45.67,21.14,0.37,0.268,0.0078,1.457,320,29.5,Lambda,eu-central-1,0.005228
78.59,36.71,0.27,0.566,0.0203,1.36,100,47.4,Lambda,ca-central-1,0.00351
10.76,12.65,1146.03,75.078,33.6368,1.317,450,9.9,S3,ap-northeast-1,2.299759
45.01,58.15,246.97,33.246,3.8489,1.447,430,73.4,EC2,ap-southeast-1,0.91863
32.99,80.59,818.36,20.487,24.0,1.447,270,147.6,RDS,eu-west-1,0.858421
46.17,15.09,2.65,0.496,0.0083,1.202,320,53.4,Lambda,eu-central-1,0.009731
7.03,58.98,218.86,10.245,24.0,1.423,430,33.7,RDS,ap-southeast-1,0.329049
54.71,48.34,2.52,0.628,0.0107,1.355,90,26.6,Lambda,sa-east-1,0.003355
83.65,52.0,106.59,19.378,11.1606,1.477,100,116.5,EC2,ca-central-1,0.284667
59.95,11.47,0.78,0.626,0.0149,1.345,380,29.0,Lambda,us-east-1,0.014046
1.0,8.32,460.57,,8.5532,1.428,380,10.0,S3,us-east-1,3.389588
17.96,63.08,0.85,0.577,0.0072,1.514,380,20.1,Lambda,us-east-1,0.013214
35.02,87.97,233.98,10.313,10.3003,1.183,100,30.3,EC2,ca-central-1,0.079226
60.09,48.81,165.8,65.971,0.001,1.243,270,101.9,EC2,eu-west-1,1.091472
1.94,23.28,1.84,0.8,0.0113,1.642,270,26.5,Lambda,eu-west-1,0.013038
47.11,90.82,728.01,14.088,24.0,1.257,90,129.0,RDS,sa-east-1,0.260321
60.27,18.11,0.0,0.328,0.0102,1.39,120,36.4,Lambda,us-west-2,0.002383
73.02,38.39,2.53,1.05,0.0076,1.262,270,34.4,Lambda,eu-west-1,0.016712
88.34,99.82,159.6,10.092,11.3824,1.37,430,173.5,EC2,ap-southeast-1,1.297557
39.33,64.13,2.88,0.441,0.0126,1.387,100,27.0,Lambda,ca-central-1,0.002722
21.61,15.99,459.93,0.0,19.6241,1.29,100,14.1,S3,ca-central-1,0.022795
55.3,1.0,2.46,0.587,0.0063,1.258,430,10.3,Lambda,ap-southeast-1,0.015377
69.24,27.74,2.73,0.608,0.007,1.466,380,21.3,Lambda,us-east-1,0.013721
92.86,42.5,3.11,0.172,0.0081,1.423,120,35.1,Lambda,us-west-2,0.001251
1.0,26.77,2085.87,82.909,26.216,1.497,120,4.6,S3,us-west-2,0.70257
54.96,1.0,1.61,0.0,0.017,1.592,120,23.1,Lambda,us-west-2,0.0001
56.25,81.47,577.27,7.678,24.0,1.33,380,60.8,RDS,us-east-1,0.676567
24.74,12.53,791.86,23.743,12.5113,1.328,90,19.5,S3,sa-east-1,0.148101
82.43,42.28,213.97,34.379,11.2725,1.234,120,122.9,EC2,us-west-2,0.430764
22.81,47.45,383.82,25.415,10.6849,1.229,120,41.1,EC2,us-west-2,0.20191
15.59,53.24,1.69,0.277,0.0122,1.31,430,23.3,Lambda,ap-southeast-1,0.00732
33.7,10.92,2.26,0.493,0.0055,1.331,90,40.0,Lambda,sa-east-1,0.002666
45.26,80.46,253.25,61.874,10.0398,1.374,100,95.2,EC2,ca-central-1,0.429898
48.02,24.75,96.51,31.044,6.5368,1.322,430,112.3,EC2,ap-southeast-1,1.003741
11.72,26.43,348.23,92.879,9.2898,1.264,90,14.0,S3,sa-east-1,0.494572
52.77,85.95,176.44,76.335,5.4764,1.404,270,128.3,EC2,eu-west-1,1.42019
40.48,24.51,0.93,0.706,0.0133,1.332,120,35.4,Lambda,us-west-2,0.004987
47.0,41.46,146.73,0.0,9.8855,1.611,320,85.3,EC2,eu-central-1,0.206796
11.88,56.84,1.75,0.311,0.0123,1.374,100,15.2,Lambda,ca-central-1,0.001917
15.62,11.88,1244.45,0.0,11.4087,1.35,100,5.7,S3,ca-central-1,0.024872
66.85,76.36,157.44,44.67,1.3292,1.269,90,125.5,EC2,sa-east-1,0.2507
42.32,41.17,53.04,20.095,7.7338,1.1,380,191.0,EC2,us-east-1,0.739483
59.45,31.59,1.58,0.106,0.0027,1.445,320,5.9,Lambda,eu-central-1,0.00198
63.37,66.47,95.36,6.149,5.3727,1.3,320,1.0,EC2,eu-central-1,0.125271
22.48,80.21,841.99,18.477,24.0,1.292,450,94.5,RDS,ap-northeast-1,0.958298
26.79,79.54,0.0,23.277,3.6954,1.349,90,140.7,EC2,sa-east-1,0.140982
79.68,42.79,1.41,0.34,0.0104,1.396,380,38.3,Lambda,us-east-1,0.0078
1.0,7.09,1947.34,91.446,6.9533,1.355,100,13.1,S3,ca-central-1,0.568379
20.98,6.26,33.13,0.0,35.2578,1.334,320,14.8,S3,eu-central-1,0.053511
70.2,1.0,2.51,0.686,0.008,1.438,450,45.8,Lambda,ap-northeast-1,0.019053
41.55,22.39,1.9,0.264,0.0039,1.256,380,12.4,Lambda,us-east-1,0.005877
84.98,52.18,1.58,0.533,0.0134,1.403,320,27.5,Lambda,eu-central-1,0.010544
46.65,71.05,82.81,14.472,4.6593,1.453,90,14.7,EC2,sa-east-1,0.081388
11.17,25.42,1264.98,114.728,18.8426,1.405,270,8.9,S3,eu-west-1,1.974312
28.01,19.71,264.82,75.893,27.5242,1.155,320,10.6,S3,eu-central-1,1.534929
34.8,80.94,837.87,29.734,24.0,1.547,270,167.9,RDS,eu-west-1,1.135421
10.46,64.03,1.96,0.731,0.0153,1.356,100,22.6,Lambda,ca-central-1,0.004388
45.25,29.73,4.02,0.569,0.0087,1.296,450,34.0,Lambda,ap-northeast-1,0.01554
18.37,,101.81,129.029,20.1772,1.22,90,10.0,S3,sa-east-1,0.68598
47.43,9.51,1.16,0.865,0.0202,1.304,430,38.4,Lambda,ap-southeast-1,0.022504
75.12,47.2,650.54,14.902,24.0,1.244,270,137.9,RDS,eu-west-1,1.154509
3.91,48.74,3.62,0.315,0.0084,1.33,430,34.9,Lambda,ap-southeast-1,0.007972
60.37,72.76,545.37,21.418,24.0,1.224,430,83.4,RDS,ap-southeast-1,1.313814
20.59,34.35,1.92,0.552,0.0041,1.589,120,20.6,Lambda,us-west-2,0.003898
35.89,79.18,833.49,25.271,24.0,1.294,450,115.9,RDS,ap-northeast-1,1.396626
64.07,82.39,900.02,28.728,24.0,1.312,380,88.1,RDS,us-east-1,1.498542
20.43,1.0,1450.56,120.904,36.7924,1.203,450,8.0,S3,ap-northeast-1,3.749622
21.37,54.68,158.81,51.83,0.001,1.303,90,143.6,EC2,sa-east-1,0.279481
49.84,59.42,502.58,40.782,24.0,1.296,450,126.4,RDS,ap-northeast-1,2.108862
44.09,49.91,3.18,,0.001,1.504,380,30.4,Lambda,us-east-1,0.02507
1.0,9.16,1406.93,52.263,22.8084,1.216,270,10.6,S3,eu-west-1,0.971629
43.47,46.72,168.34,65.594,1.1418,1.286,270,47.0,EC2,eu-west-1,1.072188
21.06,58.59,2.14,0.337,0.0114,1.305,380,50.0,Lambda,us-east-1,0.007651
35.94,34.49,0.0,0.665,0.0096,1.632,320,24.1,Lambda,eu-central-1,0.013088
26.2,60.6,2.27,0.539,0.001,1.309,380,27.4,Lambda,us-east-1,0.012551
49.04,41.4,1.71,0.693,0.0119,1.275,380,27.8,Lambda,us-east-1,0.015436
46.46,45.64,189.88,15.198,24.0,1.1,430,85.2,RDS,ap-southeast-1,0.867209
57.04,66.0,143.13,47.901,6.087,1.376,120,146.6,EC2,us-west-2,0.433437
31.65,10.09,2.28,0.535,0.0254,1.343,380,35.2,Lambda,us-east-1,0.012588
30.1,59.52,64.6,38.479,6.9534,1.151,90,13.8,EC2,sa-east-1,0.216396
34.75,84.5,577.26,11.202,24.0,1.328,320,72.9,RDS,eu-central-1,0.565067
21.75,74.49,1.61,0.555,0.0242,1.281,90,14.4,Lambda,sa-east-1,0.003049
8.83,5.89,1218.82,83.966,6.5241,1.197,320,11.8,S3,eu-central-1,1.661352
76.97,57.17,401.15,0.0,24.0,1.572,320,212.6,RDS,eu-central-1,2.082089
49.77,59.91,225.28,39.471,1.7168,1.433,450,114.4,EC2,ap-northeast-1,1.12857
43.65,87.88,112.69,24.929,24.0,1.385,270,95.0,RDS,eu-west-1,0.794778
21.73,10.54,343.31,112.327,24.4257,1.145,450,11.3,S3,ap-northeast-1,3.050801
91.68,70.77,479.19,6.343,6.6014,1.138,450,111.0,EC2,ap-northeast-1,0.525516
17.91,23.14,2416.56,0.0,29.381,1.206,380,13.3,S3,us-east-1,0.482465
15.87,97.99,482.19,39.637,24.0,1.126,270,35.2,RDS,eu-west-1,0.721936
53.31,56.64,971.69,6.485,24.0,1.1,90,125.1,RDS,sa-east-1,0.227344
76.65,37.35,0.0,25.525,12.8029,1.331,320,75.7,EC2,eu-central-1,0.793211
59.35,66.03,384.17,42.202,1.2002,1.562,320,96.2,EC2,eu-central-1,0.834662
56.93,41.72,347.23,36.873,5.764,1.183,430,50.9,EC2,ap-southeast-1,1.035606
45.35,72.84,0.0,57.517,1.047,1.304,450,136.3,EC2,ap-northeast-1,1.605324
65.56,24.33,4.09,0.489,0.0116,1.111,100,5.0,Lambda,ca-central-1,0.002877
31.5,31.54,1031.81,21.516,24.0,1.406,270,96.1,RDS,eu-west-1,0.751681
11.95,54.4,380.45,27.293,24.0,1.411,100,143.5,RDS,ca-central-1,0.242115
94.82,62.94,291.13,54.891,7.4215,1.156,380,86.2,EC2,us-east-1,1.571712
50.07,56.54,723.87,9.828,24.0,1.331,90,77.3,RDS,sa-east-1,0.191054
9.64,11.61,2433.34,133.52,34.8597,1.435,90,16.6,S3,sa-east-1,0.845614
12.08,15.96,1777.14,77.061,24.0058,1.218,430,16.2,S3,ap-southeast-1,2.309798
20.66,62.42,120.85,36.424,11.5153,1.364,380,111.1,EC2,us-east-1,0.971109
89.17,61.08,1472.04,33.428,24.0,1.422,90,46.4,RDS,sa-east-1,0.365226
60.9,70.04,386.52,2.528,24.0,1.367,100,172.4,RDS,ca-central-1,0.380837
50.86,51.98,804.03,38.186,24.0,1.361,90,118.1,RDS,sa-east-1,0.416715
24.27,72.48,726.12,34.081,24.0,1.203,90,169.8,RDS,sa-east-1,0.311679
49.3,71.52,0.0,58.583,10.7967,1.27,100,88.5,EC2,ca-central-1,0.403398
34.46,34.16,117.74,57.487,0.001,1.327,90,115.2,EC2,sa-east-1,0.311662
57.76,95.22,335.76,26.64,9.528,1.341,270,197.4,EC2,eu-west-1,0.844857
81.47,32.78,2.15,0.487,0.0072,1.3,450,27.1,Lambda,ap-northeast-1,0.013108
21.9,24.75,1.38,0.193,0.0198,1.264,100,31.5,Lambda,ca-central-1,0.00115
43.83,46.77,2.97,0.416,0.0141,1.596,270,37.3,Lambda,eu-west-1,0.006903
27.96,25.66,1689.57,0.0,24.0451,,100,1.0,S3,ca-central-1,0.06937
62.8,77.93,617.91,68.458,16.8303,1.408,90,159.6,EC2,sa-east-1,0.615983
100.0,70.86,314.25,50.649,7.8036,1.215,380,95.5,EC2,us-east-1,1.545497
12.66,28.17,2.14,0.25,0.0133,1.558,320,35.3,Lambda,eu-central-1,0.004878
59.78,89.2,516.51,12.854,24.0,1.377,380,82.2,RDS,us-east-1,1.010652
86.58,36.66,185.84,26.612,4.1713,1.443,430,110.6,EC2,ap-southeast-1,0.967354
49.96,39.91,3.65,1.262,0.0094,1.435,320,37.0,Lambda,eu-central-1,0.023895
49.56,72.7,282.09,14.828,24.0,1.125,90,70.7,RDS,sa-east-1,0.176708
37.62,79.15,85.72,39.637,10.2663,1.166,320,92.8,EC2,eu-central-1,0.91289
28.67,44.25,1.23,0.785,0.009,1.503,380,17.7,Lambda,us-east-1,0.01806
28.53,66.21,198.85,32.521,24.0,1.209,450,101.3,RDS,ap-northeast-1,1.255327
2.59,20.28,1927.68,0.0,1.3415,1.332,430,10.1,S3,ap-southeast-1,0.019591
81.55,99.77,393.58,51.629,0.8353,1.291,430,128.2,EC2,ap-southeast-1,1.363299
32.69,59.24,330.2,13.406,24.0,1.427,100,86.2,RDS,ca-central-1,0.184944
25.35,53.23,0.0,52.25,8.5421,1.192,100,49.4,EC2,ca-central-1,0.330722
19.55,72.8,140.66,85.959,1.2844,1.237,270,34.7,EC2,eu-west-1,1.412343
58.9,78.95,397.34,26.379,7.4918,1.485,450,106.4,EC2,ap-northeast-1,1.048242
18.87,29.81,0.0,0.0,23.678,1.16,430,13.3,S3,ap-southeast-1,0.029271
25.49,78.41,213.24,54.348,1.1472,1.597,270,74.2,EC2,eu-west-1,0.884867
56.65,,668.2,0.0,24.0,1.239,380,25.5,RDS,us-east-1,0.26546
73.43,70.25,640.03,31.85,24.0,1.146,380,81.5,RDS,us-east-1,1.484236
38.33,20.5,3.28,0.813,0.0077,1.347,380,21.2,Lambda,us-east-1,0.018475
22.92,8.81,317.79,72.497,15.486,1.429,100,18.8,S3,ca-central-1,0.462778
10.54,23.93,2125.1,0.98,28.0417,1.249,90,8.0,S3,sa-east-1,0.09687
1.0,30.93,1607.16,60.668,20.7809,1.304,430,1.0,S3,ap-southeast-1,1.770501
12.56,40.32,1.36,1.111,0.0108,1.393,320,31.4,Lambda,eu-central-1,0.021765
20.64,27.27,1.92,0.363,0.0062,1.225,270,53.9,Lambda,eu-west-1,0.00605
19.21,28.11,1512.77,76.611,16.6544,1.227,100,14.5,S3,ca-central-1,0.499645
58.39,79.98,635.44,34.816,24.0,1.26,90,157.2,RDS,sa-east-1,0.455972
36.88,44.33,185.55,37.667,12.4046,1.284,120,109.2,EC2,us-west-2,0.356844
57.52,74.0,329.18,3.005,4.5429,1.599,380,228.1,EC2,us-east-1,0.432945
20.34,31.96,4.2,0.498,0.0059,1.467,90,45.5,Lambda,sa-east-1,0.002754
16.48,62.91,541.65,0.0,24.0,1.285,120,147.8,RDS,us-west-2,0.117703
68.08,38.56,1.51,0.379,0.0086,1.462,380,27.6,Lambda,us-east-1,0.008989
46.36,92.54,346.0,45.597,5.1187,1.151,380,168.0,EC2,us-east-1,1.205952
34.31,97.63,148.59,,7.9333,,450,199.3,EC2,ap-northeast-1,0.689228
79.34,23.48,2.62,0.072,0.0125,1.133,270,39.1,Lambda,eu-west-1,0.001292
26.83,16.32,457.93,65.829,26.5156,1.367,270,7.7,S3,eu-west-1,1.158124
92.47,7.29,1.74,0.099,0.0122,1.501,90,30.3,Lambda,sa-east-1,0.000597
48.42,9.66,1.96,0.499,0.0185,1.538,380,34.4,Lambda,us-east-1,0.01143
5.3,37.28,465.38,29.007,16.6062,1.13,120,14.9,S3,us-west-2,0.228143
17.6,7.09,435.3,64.386,29.901,1.36,100,14.6,S3,ca-central-1,0.415728
41.95,60.39,304.46,14.538,24.0,1.466,450,101.8,RDS,ap-northeast-1,1.116053
82.15,55.8,0.0,44.31,9.1388,,430,182.9,EC2,ap-southeast-1,1.866264
12.84,9.83,607.54,44.004,21.1324,1.275,450,1.0,S3,ap-northeast-1,1.264296
81.59,69.05,81.14,5.386,24.0,1.256,320,156.6,RDS,eu-central-1,1.365111
46.21,49.28,335.4,21.83,11.6786,1.154,90,152.0,EC2,sa-east-1,0.205403
34.19,80.54,0.0,46.43,11.0853,1.333,450,79.2,EC2,ap-northeast-1,1.423221
43.72,53.33,151.0,21.423,6.2701,1.101,120,140.8,EC2,us-west-2,0.207293
64.87,52.96,615.64,15.736,24.0,1.44,270,58.6,RDS,eu-west-1,0.679732
45.94,15.08,3.41,0.432,0.0106,1.248,270,15.7,Lambda,eu-west-1,0.007038
16.91,25.39,375.22,0.0,27.7805,1.239,450,16.1,S3,ap-northeast-1,0.123209
70.97,63.16,137.57,45.087,16.933,1.356,430,73.9,EC2,ap-southeast-1,1.727796
49.17,78.52,26.15,4.422,24.0,1.505,450,72.2,RDS,ap-northeast-1,0.684474
20.9,45.4,0.0,0.0,37.6034,1.457,430,10.3,S3,ap-southeast-1,0.051999
10.19,77.52,560.67,28.659,24.0,1.271,430,100.4,RDS,ap-southeast-1,0.991927
12.78,20.68,1702.76,9.425,28.4107,1.287,430,12.4,S3,ap-southeast-1,0.615681
10.08,1.0,2253.21,79.576,11.5689,1.301,270,16.0,S3,eu-west-1,1.436286
22.96,69.78,285.43,18.551,24.0,1.333,100,60.8,RDS,ca-central-1,0.171684
47.43,94.94,644.0,41.276,24.0,1.309,90,90.4,RDS,sa-east-1,0.36693
1.0,53.65,111.51,23.306,24.0,1.41,90,123.3,RDS,sa-east-1,0.13573
14.65,19.65,1370.53,0.0,32.3403,1.377,450,7.4,S3,ap-northeast-1,0.356973
8.48,20.45,707.85,29.87,20.7285,1.476,380,11.9,S3,us-east-1,0.799988
1.0,45.34,0.76,0.654,0.001,1.536,380,42.7,Lambda,us-east-1,0.014816
50.04,5.95,2.49,0.201,0.001,1.296,270,35.2,Lambda,eu-west-1,0.003268
58.04,84.54,262.95,33.77,24.0,1.432,320,32.0,RDS,eu-central-1,0.897856
68.16,31.85,2.14,0.712,0.013,1.1,90,30.0,Lambda,sa-east-1,0.003801
33.81,20.61,0.0,6.391,16.6897,1.333,430,1.9,S3,ap-southeast-1,0.166345
75.29,76.16,252.65,8.796,24.0,1.265,90,109.3,RDS,sa-east-1,0.289933
37.97,65.86,540.52,15.284,24.0,1.159,90,86.4,RDS,sa-east-1,0.179218
1.0,14.09,6.26,37.005,14.9084,1.425,320,13.0,S3,eu-central-1,0.727199
85.26,48.18,1.31,0.696,0.0117,1.34,380,40.8,Lambda,us-east-1,0.01572
64.33,57.83,158.42,42.117,7.5746,1.301,120,163.9,EC2,us-west-2,0.430903
13.23,63.29,471.84,12.506,24.0,1.38,270,30.8,RDS,eu-west-1,0.293653
57.88,58.48,159.76,34.364,9.545,1.161,100,159.5,EC2,ca-central-1,0.305113
46.63,68.57,563.24,9.057,24.0,1.137,430,55.5,RDS,ap-southeast-1,0.629002
59.36,38.58,3.31,0.781,0.0071,,90,21.3,Lambda,sa-east-1,0.004163
78.27,58.55,377.87,1.009,7.1835,1.319,430,198.0,EC2,ap-southeast-1,0.674396
38.85,27.13,2.73,0.572,0.0153,1.355,120,36.8,Lambda,us-west-2,0.004228
48.15,45.05,350.14,35.583,7.6225,1.468,120,125.9,EC2,us-west-2,0.346602
13.4,68.22,0.62,0.032,0.0103,1.381,90,44.1,Lambda,sa-east-1,0.000179
22.46,25.6,2.48,0.386,0.017,1.396,120,31.9,Lambda,us-west-2,0.002863
54.2,78.65,182.12,52.994,8.4135,1.264,380,199.5,EC2,us-east-1,1.644046
14.87,79.89,351.41,12.69,24.0,1.227,100,83.1,RDS,ca-central-1,0.123515
50.32,40.75,3.07,0.474,0.0025,1.36,120,28.0,Lambda,us-west-2,0.003457
31.0,19.98,1325.53,118.456,25.9209,1.647,320,9.9,S3,eu-central-1,2.480508
16.21,71.23,1.83,0.143,0.0121,1.551,380,37.2,Lambda,us-east-1,0.003261
38.54,56.12,144.73,30.266,6.7515,1.19,120,209.6,EC2,us-west-2,0.303976
14.52,80.71,835.45,37.98,24.0,1.155,320,83.1,RDS,eu-central-1,0.962881
8.02,42.49,1297.82,0.0,33.3453,1.284,270,5.5,S3,eu-west-1,0.200832
13.52,28.3,107.01,15.359,5.5767,1.179,380,165.5,EC2,us-east-1,0.412047
28.59,68.85,1.6,0.448,0.0077,1.47,380,6.7,Lambda,us-east-1,0.010161
44.79,18.89,557.03,21.171,28.0159,1.349,430,18.8,S3,ap-southeast-1,0.783692
3.74,11.36,2460.8,30.602,26.3467,1.405,100,7.9,S3,ca-central-1,0.296799
1.0,50.97,1.7,0.11,0.0094,1.2,120,29.2,Lambda,us-west-2,0.000767
60.91,43.87,4.46,0.722,0.006,1.365,450,31.0,Lambda,ap-northeast-1,0.019956
29.25,56.92,271.0,20.085,24.0,1.452,450,167.7,RDS,ap-northeast-1,1.344208
55.53,53.98,3.21,0.711,0.0104,1.392,90,28.2,Lambda,sa-east-1,0.003858
39.31,72.8,99.94,68.908,6.4898,1.278,90,209.5,EC2,sa-east-1,0.428903
31.11,44.5,67.62,28.813,0.001,1.375,270,200.7,EC2,eu-west-1,0.455024
78.84,93.18,507.49,9.902,24.0,1.207,430,36.0,RDS,ap-southeast-1,0.681148
15.16,22.31,390.37,33.54,19.0073,1.415,380,5.8,S3,us-east-1,0.813146
47.01,59.88,285.82,44.898,18.2113,1.318,450,166.6,EC2,ap-northeast-1,2.056358
35.4,67.06,182.41,48.334,10.9627,1.263,100,50.9,EC2,ca-central-1,0.31529
29.23,51.13,1.5,0.0,0.0195,1.301,450,38.0,Lambda,ap-northeast-1,0.000128
59.61,51.07,158.8,3.002,2.8313,1.352,90,252.8,EC2,sa-east-1,0.068746
13.65,3.04,799.81,37.288,33.2039,1.483,320,8.6,S3,eu-central-1,0.870721
48.73,72.2,0.0,14.042,13.0393,1.321,380,248.8,EC2,us-east-1,1.146563
65.2,50.03,252.26,1.226,24.0,1.542,90,59.2,RDS,sa-east-1,0.144613
8.53,20.04,1123.48,53.87,30.1602,1.279,430,7.0,S3,ap-southeast-1,1.682448
45.75,37.47,1.52,0.491,0.0197,,430,22.5,Lambda,ap-southeast-1,0.012494
34.55,21.18,2897.28,61.988,24.8928,1.382,430,6.5,S3,ap-southeast-1,2.174851
22.05,69.18,2.65,0.43,0.0143,1.397,270,49.4,Lambda,eu-west-1,0.006809
6.65,8.74,0.0,30.015,27.2854,1.343,120,2.6,S3,us-west-2,0.214508
67.27,84.09,414.93,12.516,24.0,1.316,320,57.1,RDS,eu-central-1,0.668377
54.93,46.48,279.1,31.309,7.1977,1.359,90,158.3,EC2,sa-east-1,0.252536
29.59,33.4,1350.26,63.022,40.6833,1.619,90,14.4,S3,sa-east-1,0.458424
1.0,77.64,135.38,21.698,8.5374,1.388,430,303.9,EC2,ap-southeast-1,0.587047
14.44,22.53,1837.01,114.088,19.9423,1.266,450,6.9,S3,ap-northeast-1,3.451651
49.86,64.17,408.95,17.008,24.0,1.402,380,22.9,RDS,us-east-1,0.610526
1.0,46.13,3.12,0.089,0.0138,1.389,430,10.9,Lambda,ap-southeast-1,0.002358
66.14,28.22,422.65,,24.0,1.558,100,143.9,RDS,ca-central-1,0.589911
1.17,48.32,0.07,0.684,0.0061,1.455,450,28.7,Lambda,ap-northeast-1,0.018272
28.42,32.91,1022.74,12.634,21.9201,1.528,380,17.0,S3,us-east-1,0.507418
2.21,45.7,0.13,0.435,0.0045,1.198,430,24.0,Lambda,ap-southeast-1,0.011556
56.13,91.85,52.66,,17.9864,1.227,320,162.0,EC2,eu-central-1,0.650096
1.0,26.2,0.0,85.166,22.2096,1.345,430,6.5,S3,ap-southeast-1,2.172464
67.19,56.93,1.08,0.229,0.001,1.518,270,9.9,Lambda,eu-west-1,0.003784
33.64,74.76,360.52,14.332,24.0,1.314,120,119.0,RDS,us-west-2,0.264641
1.0,46.6,2.07,0.331,0.0167,1.357,430,30.9,Lambda,ap-southeast-1,0.008457
7.85,13.06,1080.98,0.0,28.2183,1.152,100,12.1,S3,ca-central-1,0.054947
12.61,15.31,1242.1,83.12,5.6485,1.434,270,17.7,S3,eu-west-1,1.405482
8.96,8.99,377.97,96.464,21.0992,1.315,380,1.0,S3,us-east-1,2.316692
24.39,52.17,265.55,21.861,24.0,1.578,270,179.6,RDS,eu-west-1,0.849682
68.73,41.63,290.21,26.219,24.0,1.259,380,74.5,RDS,us-east-1,1.253396
46.09,63.63,460.95,0.0,20.5375,1.297,380,155.9,EC2,us-east-1,0.787334
92.19,26.47,1.91,0.648,0.0143,1.539,320,27.7,Lambda,eu-central-1,0.01297
70.18,62.55,89.97,79.502,12.3834,1.427,320,250.4,EC2,eu-central-1,2.499418
27.45,90.6,0.0,2.826,8.4264,1.155,270,254.4,EC2,eu-west-1,0.229887
21.8,39.82,197.71,70.983,1.576,1.479,120,149.5,EC2,us-west-2,0.517758
80.24,71.64,247.76,37.206,7.423,1.285,450,174.2,EC2,ap-northeast-1,1.597919
7.25,18.12,444.17,61.675,19.0341,1.515,450,8.2,S3,ap-northeast-1,1.686131
36.3,55.98,345.2,53.397,13.1873,1.402,380,221.4,EC2,us-east-1,1.767532
53.02,71.26,530.08,51.577,24.0,1.205,450,108.6,RDS,ap-northeast-1,2.236189
15.02,,1666.91,56.77,29.2227,1.311,380,15.1,S3,us-east-1,1.625237
43.67,83.09,415.72,17.581,24.0,1.435,270,197.0,RDS,eu-west-1,1.157188
41.52,95.71,475.69,19.664,24.0,1.349,270,167.5,RDS,eu-west-1,0.989853
26.05,86.35,1067.6,19.663,24.0,,120,142.9,RDS,us-west-2,0.348643
51.88,58.82,354.29,11.404,11.5194,1.212,450,70.5,EC2,ap-northeast-1,0.557591
39.62,57.59,210.98,58.743,17.8964,1.409,90,85.6,EC2,sa-east-1,0.389037
7.75,15.5,2669.1,61.156,15.0651,1.526,90,5.0,S3,sa-east-1,0.388703
29.12,63.67,268.04,21.316,24.0,1.371,90,101.5,RDS,sa-east-1,0.207191
57.56,64.41,2.07,0.042,0.0161,1.564,380,26.4,Lambda,us-east-1,0.001103
37.73,17.29,986.18,116.958,33.6856,1.354,450,7.7,S3,ap-northeast-1,3.396265
21.41,45.28,3.32,0.214,0.0059,1.454,120,17.1,Lambda,us-west-2,0.001505
3.74,91.75,704.1,24.056,24.0,1.457,100,49.2,RDS,ca-central-1,0.178731
8.83,8.9,730.51,110.908,31.5444,1.256,450,13.0,S3,ap-northeast-1,3.135952
74.97,99.72,543.69,25.617,24.0,1.458,320,82.2,RDS,eu-central-1,1.279896
61.92,64.87,564.07,16.95,24.0,1.375,270,121.3,RDS,eu-west-1,1.025857
89.19,22.61,2.54,0.67,0.0264,1.421,430,21.2,Lambda,ap-southeast-1,0.017684
61.32,54.12,701.52,0.0,24.0,1.426,100,139.4,RDS,ca-central-1,0.328276
1.0,65.86,520.78,8.438,24.0,1.522,90,31.8,RDS,sa-east-1,0.063794
6.03,1.0,307.99,29.306,9.8672,1.179,450,12.6,S3,ap-northeast-1,0.820193
45.13,37.88,317.36,27.957,13.81,1.231,100,151.8,EC2,ca-central-1,0.284176
17.01,,2766.81,102.242,24.2657,1.418,120,14.0,S3,us-west-2,0.897652
13.76,17.71,1326.4,73.781,27.2066,1.24,430,15.8,S3,ap-southeast-1,2.171336
75.95,42.98,162.19,20.505,10.6876,1.294,90,100.7,EC2,sa-east-1,0.202904
8.49,42.6,0.0,4.8,5.303,1.393,90,220.9,EC2,sa-east-1,0.03767
31.22,48.97,886.66,3.341,24.0,1.514,430,114.7,RDS,ap-southeast-1,0.823128
14.43,20.27,0.0,78.194,19.6724,1.392,430,14.5,S3,ap-southeast-1,2.006104
30.99,47.45,2.02,0.0,0.0024,1.335,270,38.3,Lambda,eu-west-1,0.0001
11.27,15.79,929.28,53.49,28.46,1.171,450,1.0,S3,ap-northeast-1,1.671574
41.3,,40.6,31.822,24.0,1.369,450,65.2,RDS,ap-northeast-1,1.267143
2.81,,0.0,59.539,22.927,1.564,120,17.4,S3,us-west-2,0.428078
55.27,38.07,2.98,0.47,0.0111,1.328,430,24.5,Lambda,ap-southeast-1,0.012478
56.78,100.0,611.52,0.717,24.0,1.194,380,64.3,RDS,us-east-1,0.507577
39.18,24.65,3.93,0.514,0.0166,1.492,320,43.9,Lambda,eu-central-1,0.009748
18.09,1.0,0.0,,33.2331,1.469,320,13.2,S3,eu-central-1,1.009099
36.49,24.5,1.28,0.231,0.0053,1.213,380,42.5,Lambda,us-east-1,0.005196
43.83,24.74,0.88,0.515,0.0013,1.526,120,34.9,Lambda,us-west-2,0.003632
15.21,60.28,135.99,8.937,24.0,1.319,120,98.3,RDS,us-west-2,0.129891
53.91,62.24,284.29,0.0,11.2189,1.346,450,127.8,EC2,ap-northeast-1,0.499654
